Date,Open,High,Low,Close,Adj Close,Volume
12/11/2002,67.80000305,69.2460022,67.09999847,69.03600311,29.22304344,2036590
12/12/2002,72,72,67.61000061,68.72000122,29.08927536,214025
12/13/2002,69,77.40000153,68.80000305,72.93000031,30.87137032,1814355
12/16/2002,75,76.40000153,73.40000153,75.38999939,31.91269302,1352920
12/17/2002,75.16000366,75.19999695,71.26999664,72.08000183,30.51156235,1458795
12/18/2002,72,73.18000031,71.62000275,72.25,30.58352661,495235
12/19/2002,72,72.54000092,71,71.51000214,30.27028465,437555
12/20/2002,72,72.5,70.09999847,72.04000092,30.49463844,568745
12/23/2002,71.77999878,72.01999664,70.83000183,71.44000244,30.24066162,178075
12/24/2002,71.40000153,71.79000092,70.23000336,70.68000031,29.91894341,129410
12/25/2002,70.68000031,70.68000031,70.68000031,70.68000031,29.91894341,0
12/26/2002,71.19999695,71.37999725,69.59999847,70.25,29.73692513,127605
12/27/2002,69.62000275,72.59999847,68.20999908,72.01999664,30.48616409,310900
12/30/2002,71.40000153,72.58000183,71,72.09999847,30.52003288,185150
12/31/2002,72,72.51999664,71.09999847,71.66999817,30.3380146,147285
1/1/2003,71.69999695,72.08000183,71,71.23999786,30.15599251,31805
1/2/2003,71.98000336,72.15000153,71.59999847,72.01000214,30.48193741,108875
1/3/2003,71.31999969,72.09999847,70.41999817,70.72000122,29.93587875,37475
1/6/2003,70.84999847,72.48000336,70.84999847,72.05000305,30.49886513,109565
1/7/2003,72,73.40000153,71.98000336,73.11000061,30.94756317,214330
1/8/2003,72.77999878,73.40000153,72.40000153,73.05000305,30.92217255,591670
1/9/2003,73,73.59999847,72.43000031,73.55999756,31.13805008,349790
1/10/2003,74.19999695,75,65,72.76000214,30.79941559,368895
1/13/2003,72.70999908,73.95999908,72.59999847,73.52999878,31.12534714,90905
1/14/2003,72.97000122,74.40000153,72.97000122,74.11000061,31.37087059,166700
1/15/2003,73.69999695,75,73.69999695,74.88999939,31.70104408,79965
1/16/2003,74.80000305,74.80000305,74,74.44999695,31.51478767,57300
1/17/2003,74.40000153,74.59999847,73.59999847,74.12000275,31.375103,60855
1/20/2003,74,75,73.19999695,74.48999786,31.53172493,1424125
1/21/2003,75.40000153,75.90000153,74,74.33999634,31.46821976,205960
1/22/2003,74.40000153,75.90000153,74,75.05000305,31.76877785,397760
1/23/2003,76.75,76.75,75.22000122,75.5,31.95925903,190050
1/24/2003,74.30999756,75.59999847,74.30000305,74.62000275,31.58674622,275670
1/27/2003,74.01999664,75.40000153,73.80999756,75.11000061,31.79417038,1915715
1/28/2003,75,76,74.80000305,75.08999634,31.78569984,933960
1/29/2003,75,75.59999847,74.90000153,75.04000092,31.7645359,321790
1/30/2003,75,75.38999939,74.22000122,75.05000305,31.76877785,499880
1/31/2003,75.37999725,75.54000092,74.41999817,75.01999664,31.756073,1995990
2/3/2003,74.41999817,75.09999847,74.27999878,74.81999969,31.67141533,396795
2/4/2003,74.81999969,75.59999847,73.02999878,73.91999817,31.29045105,1647555
2/5/2003,70.40000153,75.19999695,70.40000153,74.94999695,31.72644043,692640
2/6/2003,74.97000122,75,74.30000305,74.88999939,31.70104408,447365
2/7/2003,74.51000214,75.59999847,74.25,75.23000336,31.84497261,286545
2/10/2003,75.04000092,78.87999725,75.04000092,78.04000092,33.03443909,1001005
2/11/2003,78.40000153,78.87999725,76.48000336,77.5,32.80585861,625730
2/12/2003,77.59999847,77.59999847,75.25,75.80000305,32.08624649,156905
2/14/2003,75,76.09999847,74.23000336,75.01000214,31.75184441,498520
2/17/2003,76.5,76.5,74.80000305,75.36000061,31.8999939,338775
2/18/2003,75.15000153,75.66999817,74.63999939,75.01999664,31.756073,302220
2/19/2003,75,75.26000214,74.79000092,74.95999908,31.73067093,586395
2/20/2003,76.19999695,76.19999695,74.80000305,75.11000061,31.79417038,706305
2/21/2003,75,75.30000305,74.83999634,75.19000244,31.82803154,776440
2/24/2003,75.40000153,75.40000153,74.87000275,75.11000061,31.79417038,1167500
2/25/2003,75,75.40000153,75,75.01000214,31.75184441,1162050
2/26/2003,75.40000153,75.40000153,74.94999695,75.01999664,31.756073,1027565
2/27/2003,75.19000244,75.19000244,74.66000366,74.94000244,31.72221565,947540
2/28/2003,75.58000183,75.95999908,74.80000305,74.95999908,31.73067093,1304295
3/3/2003,75,75.01999664,74.59999847,74.95999908,31.73067093,185915
3/4/2003,75,75,74.41000366,74.61000061,31.58251762,501300
3/5/2003,73.30000305,75,73.30000305,74.02999878,31.33700371,636025
3/6/2003,74.59999847,74.59999847,73.30000305,73.62999725,31.16768456,523355
